Train Epoch: [1/5] Iters:[1990/10009] transplant_loss 6.0506, rec_loss 0.0516, quant_error 0.4488,
Train Epoch: [1/5] Iters:[2000/10009] transplant_loss 6.0357, rec_loss 0.0513, quant_error 0.4476,
Train Epoch: [1/5] Iters:[2010/10009] transplant_loss 6.0256, rec_loss 0.0510, quant_error 0.4467,
Train Epoch: [1/5] Iters:[2020/10009] transplant_loss 6.0441, rec_loss 0.0518, quant_error 0.4479,
Train Epoch: [1/5] Iters:[2030/10009] transplant_loss 6.0654, rec_loss 0.0524, quant_error 0.4493,
Train Epoch: [1/5] Iters:[2040/10009] transplant_loss 6.0594, rec_loss 0.0522, quant_error 0.4485,
Train Epoch: [1/5] Iters:[2050/10009] transplant_loss 6.0660, rec_loss 0.0521, quant_error 0.4489,
Train Epoch: [1/5] Iters:[2060/10009] transplant_loss 6.0545, rec_loss 0.0517, quant_error 0.4479,
Train Epoch: [1/5] Iters:[2070/10009] transplant_loss 6.0370, rec_loss 0.0510, quant_error 0.4463,
Train Epoch: [1/5] Iters:[2080/10009] transplant_loss 6.0118, rec_loss 0.0506, quant_error 0.4442,
Train Epoch: [1/5] Iters:[2090/10009] transplant_loss 6.0333, rec_loss 0.0504, quant_error 0.4457,
Train Epoch: [1/5] Iters:[2100/10009] transplant_loss 6.0462, rec_loss 0.0507, quant_error 0.4465,
Train Epoch: [1/5] Iters:[2110/10009] transplant_loss 6.0625, rec_loss 0.0506, quant_error 0.4474,
Train Epoch: [1/5] Iters:[2120/10009] transplant_loss 6.1019, rec_loss 0.0511, quant_error 0.4502,
Train Epoch: [1/5] Iters:[2130/10009] transplant_loss 6.0965, rec_loss 0.0512, quant_error 0.4497,
Train Epoch: [1/5] Iters:[2140/10009] transplant_loss 6.0831, rec_loss 0.0515, quant_error 0.4487,
Train Epoch: [1/5] Iters:[2150/10009] transplant_loss 6.0649, rec_loss 0.0513, quant_error 0.4472,
Train Epoch: [1/5] Iters:[2160/10009] transplant_loss 6.0631, rec_loss 0.0518, quant_error 0.4471,
Train Epoch: [1/5] Iters:[2170/10009] transplant_loss 6.0380, rec_loss 0.0510, quant_error 0.4451,
Train Epoch: [1/5] Iters:[2180/10009] transplant_loss 6.0488, rec_loss 0.0510, quant_error 0.4458,
Train Epoch: [1/5] Iters:[2190/10009] transplant_loss 6.0492, rec_loss 0.0512, quant_error 0.4457,
Train Epoch: [1/5] Iters:[2200/10009] transplant_loss 6.0612, rec_loss 0.0508, quant_error 0.4465,
Train Epoch: [1/5] Iters:[2210/10009] transplant_loss 6.0345, rec_loss 0.0500, quant_error 0.4443,
Train Epoch: [1/5] Iters:[2220/10009] transplant_loss 6.0204, rec_loss 0.0502, quant_error 0.4431,
Train Epoch: [1/5] Iters:[2230/10009] transplant_loss 6.0122, rec_loss 0.0500, quant_error 0.4425,
Train Epoch: [1/5] Iters:[2240/10009] transplant_loss 5.9989, rec_loss 0.0499, quant_error 0.4414,
Train Epoch: [1/5] Iters:[2250/10009] transplant_loss 5.9865, rec_loss 0.0503, quant_error 0.4403,
Train Epoch: [1/5] Iters:[2260/10009] transplant_loss 6.0045, rec_loss 0.0505, quant_error 0.4416,
Train Epoch: [1/5] Iters:[2270/10009] transplant_loss 6.0155, rec_loss 0.0506, quant_error 0.4422,
Train Epoch: [1/5] Iters:[2280/10009] transplant_loss 6.0261, rec_loss 0.0510, quant_error 0.4428,
Train Epoch: [1/5] Iters:[2290/10009] transplant_loss 6.0377, rec_loss 0.0510, quant_error 0.4436,
